iter	Passed	Remaining
854	3651	619
855	3655	614
856	3658	610
857	3662	606
858	3665	601
859	3669	597
860	3673	593
861	3676	588
862	3681	584
863	3684	580
864	3688	575
865	3692	571
866	3696	567
867	3700	562
868	3703	558
869	3707	553
870	3710	549
871	3714	545
872	3717	540
873	3721	536
874	3725	532
875	3728	527
876	3732	523
877	3736	519
878	3740	514
879	3743	510
880	3747	506
881	3750	501
882	3754	497
883	3757	493
884	3760	488
885	3764	484
886	3768	480
887	3771	475
888	3775	471
889	3778	467
890	3783	462
891	3787	458
892	3791	454
893	3794	449
894	3798	445
895	3802	441
896	3805	436
897	3808	432
898	3812	428
899	3816	424
900	3819	419
901	3822	415
902	3827	411
903	3830	406
904	3834	402
905	3837	398
906	3841	393
907	3844	389
908	3847	385
909	3851	380
910	3855	376
911	3858	372
912	3862	368
913	3865	363
914	3869	359
915	3873	355
916	3876	350
917	3879	346
918	3883	342
919	3887	338
920	3891	333
921	3895	329
922	3899	325
923	3902	321
924	3906	316
925	3909	312
926	3913	308
927	3917	303
928	3920	299
929	3924	295
930	3927	291
931	3931	286
932	3935	282
933	3938	278
934	3942	274
935	3945	269
936	3949	265
937	3952	261
938	3956	257
939	3960	252
940	3963	248
941	3967	244
942	3970	240
943	3974	235
944	3978	231
945	3981	227
946	3985	223
947	3988	218
948	3992	214
949	3995	210
950	3999	206
951	4003	201
952	4006	197
953	4009	193
954	4013	189
955	4016	184
956	4020	180
957	4023	176
958	4028	172
959	4032	168
960	4036	163
961	4040	159
962	4043	155
963	4046	151
964	4050	146
965	4054	142
966	4058	138
967	4062	134
968	4065	130
969	4069	125
970	4073	121
971	4076	117
972	4080	113
973	4083	109
974	4087	104
975	4091	100
976	4095	96
977	4098	92
978	4101	87
979	4105	83
980	4109	79
981	4113	75
982	4116	71
983	4120	66
984	4124	62
985	4127	58
986	4131	54
987	4134	50
988	4138	46
989	4141	41
990	4145	37
991	4149	33
992	4153	29
993	4157	25
994	4161	20
995	4164	16
996	4168	12
997	4172	8
998	4176	4
999	4179	0
